Sub category,Ward Name
Potholes,Hoysala Nagar
Potholes,Hoysala Nagar
Potholes,Hoysala Nagar
Potholes,Hoysala Nagar
Potholes,Hoysala Nagar
Potholes,Hoysala Nagar
Potholes,J P Park
Potholes,JP Nagar 
Potholes,JP Nagar 
Potholes,JP Nagar 
Potholes,Jakkasandra
Potholes,Jakkuru
Potholes,Jakkuru
Potholes,Jalahalli
Potholes,Jalahalli
Potholes,Jalahalli
Potholes,Jalahalli
Potholes,Jaraganahalli 
Potholes,Jaraganahalli 
Potholes,Jayachamarajendra Nagar
Potholes,Jayachamarajendra Nagar
Potholes,Jayamahal
Potholes,Jayamahal
Potholes,Jayamahal
Potholes,Jayamahal
Potholes,Jayanagar 
Potholes,Jayanagar 
Potholes,Jayanagar 
Potholes,Jayanagar East 
Potholes,Jayanagar East 
Potholes,Jeevanbhima Nagar
Potholes,Jeevanbhima Nagar
Potholes,Jeevanbhima Nagar
Potholes,Jnana Bharathi
Potholes,Jnana Bharathi
Potholes,Jogupalya
Potholes,Jogupalya
Potholes,Jogupalya
Potholes,K R Puram
Potholes,K R Puram
Potholes,K R Puram
Potholes,K R Puram
Potholes,K R Puram
Potholes,K R Puram
Potholes,Kacharkanahalli
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kadugodi
Potholes,Kamakshipalya
Potholes,Kammanahalli
Potholes,Kaval Bairasandra
Potholes,Kaval Bairasandra
Potholes,Kaval Bairasandra
Potholes,Kaval Bairasandra
Potholes,Kaval Bairasandra
Potholes,Kaval Bairasandra
Potholes,Kaveripura
Potholes,Kengeri 
Potholes,Kengeri 
Potholes,Kodigehalli
Potholes,Kodigehalli
Potholes,Konankunte
Potholes,Konankunte
Potholes,Konankunte
Potholes,Konena Agrahara
Potholes,Konena Agrahara
Potholes,Konena Agrahara
Potholes,Konena Agrahara
Potholes,Konena Agrahara
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Koramangala
Potholes,Kumaraswamy Layout 
Potholes,Laggere
Potholes,Lakkasandra 
Potholes,Lakshmi Devi Nagar
Potholes,Lingarajapura
Potholes,Malleswaram
Potholes,Mangamannapalya
Potholes,Mangamannapalya
Potholes,Marappana Palya
Potholes,Marappana Palya
Potholes,Marappana Palya
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Marathahalli
Potholes,Maruthi Seva Nagar
Potholes,Maruthi Seva Nagar
Potholes,Mattikere
Potholes,Mattikere
Potholes,Mattikere
Potholes,Muneshwara Nagar
Potholes,Nagapura
Potholes,Nagarabhavi 
Potholes,Nagarabhavi 
Potholes,Nagarabhavi 
Potholes,Nagarabhavi 
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nagavara
Potholes,Nayandahalli
Potholes,Nayandahalli
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,New Tippasandra
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Other
Potholes,Pattabhiram Nagar 
Potholes,Peenya Industrial Area
Potholes,Peenya Industrial Area
Potholes,Peenya Industrial Area
Potholes,Peenya Industrial Area
Potholes,Peenya Industrial Area
Potholes,Pulikeshinagar
Potholes,Pulikeshinagar
Potholes,Pulikeshinagar
Potholes,Radhakrishna Temple 
Potholes,Rajaji Nagar
Potholes,Rajarajeshwari Nagar 
Potholes,Rajarajeshwari Nagar 
Potholes,Rajarajeshwari Nagar 
Potholes,Rajarajeshwari Nagar 
Potholes,Rajarajeshwari Nagar 
Potholes,Rajarajeshwari Nagar 
Potholes,Ramamurthy Nagar
Potholes,Ramamurthy Nagar
Potholes,Ramamurthy Nagar
Potholes,Ramamurthy Nagar
Potholes,Ramamurthy Nagar
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sagayarapuram
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sampangiram Nagar
Potholes,Sarakki
Potholes,Sarakki
Potholes,Sarvagna Nagar
Potholes,Shakambari Nagar 
Potholes,Shakambari Nagar 
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shantala Nagar
Potholes,Shanthi Nagar
Potholes,Shanthi Nagar
Potholes,Shivaji Nagar
Potholes,Singasandra
Potholes,Singasandra
Potholes,Singasandra
Potholes,Singasandra
